Pressure (mbar),Alt AM (km),Std Alt AM (km),Temp AM (K),Std Temp AM (K),Density AM (cm-3),Std Density AM (cm-3),VMR AM (1),Alt PM (km),Std Alt PM (km),Temp PM (K),Std Temp PM (K),Density PM (cm-3),Std Density PM (cm-3),VMR PM (1)
5.01E-08,144.7,0.4,202.3,15.8,1.20E+09,1.43E+08,0.67,145.5,1.3,204,13.3,1.15E+09,8.90E+07,0.66
6.31E-08,143.7,0.4,208.6,17.2,1.50E+09,1.48E+08,0.69,144.5,1.8,209.3,12.8,1.45E+09,1.16E+08,0.68
7.94E-08,142.7,1.7,214.8,13.3,1.88E+09,2.86E+08,0.71,143.4,1.6,215.1,13.8,1.83E+09,1.34E+08,0.7
1.00E-07,141.6,2.2,220.8,7.5,2.37E+09,3.72E+08,0.73,142.2,1.3,220.7,55.7,2.30E+09,3.20E+08,0.72
1.26E-07,140.5,1.9,226.2,15.3,2.98E+09,5.10E+08,0.75,141.1,4.2,225.4,27.3,2.91E+09,5.64E+08,0.74
1.58E-07,139.5,1.2,230.4,33.2,3.76E+09,7.24E+08,0.76,139.9,1.5,228.8,14,3.70E+09,5.79E+08,0.76
2.00E-07,138.6,0.7,232.9,51.5,4.76E+09,1.01E+09,0.77,138.8,1.9,230,23.9,4.73E+09,7.04E+08,0.77
2.51E-07,137.5,0.7,233.7,53.8,6.08E+09,1.35E+09,0.79,137.7,1.9,229.3,36.2,6.08E+09,8.84E+08,0.78
3.16E-07,136.3,0.7,232.1,55,7.84E+09,1.84E+09,0.8,136.6,1.6,226.7,43.1,7.87E+09,1.30E+09,0.8
3.98E-07,135.2,0.8,228.1,52,1.02E+10,2.38E+09,0.82,135.5,1.6,222.2,33.7,1.03E+10,1.47E+09,0.81
5.01E-07,134.1,0.8,221.7,54.3,1.35E+10,3.26E+09,0.83,134.5,1.5,215.3,44.3,1.35E+10,3.17E+09,0.82
6.31E-07,133.1,1,211.8,54.3,1.82E+10,4.48E+09,0.84,133.5,1.5,205.7,50.4,1.82E+10,4.26E+09,0.83
7.94E-07,132,1,202,51.4,2.44E+10,5.84E+09,0.85,132.5,1.5,195.5,49.6,2.44E+10,6.11E+09,0.84
1.00E-06,131.1,1.1,190.1,48.4,3.32E+10,7.55E+09,0.86,131.6,1.6,183.5,41.9,3.31E+10,7.81E+09,0.85
1.26E-06,130.1,1,177.9,46.3,4.54E+10,1.00E+10,0.87,130.7,2,171.1,48.3,4.51E+10,1.01E+10,0.86
1.58E-06,129.2,0.9,165.7,45.6,6.22E+10,1.46E+10,0.87,129.9,2.8,159.7,33.2,6.11E+10,1.25E+10,0.87
2.00E-06,128.5,0.8,154.8,47,8.47E+10,2.38E+10,0.88,129.1,2.9,149.4,11.1,8.27E+10,1.50E+10,0.87
2.51E-06,127.7,0.3,143.4,43.8,1.15E+11,3.71E+10,0.88,128.5,2.9,139.9,17.5,1.09E+11,2.05E+10,0.88
3.16E-06,127.1,0.7,134.7,44.2,1.54E+11,5.45E+10,0.89,128,2.6,132.3,31.6,1.42E+11,3.04E+10,0.88
3.98E-06,126.5,0.5,128.1,54.9,2.03E+11,7.46E+10,0.89,127.6,2.7,126.6,31.4,1.83E+11,5.18E+10,0.89
5.01E-06,125.9,0.5,123.2,50.3,2.63E+11,9.65E+10,0.9,127.2,1.1,121.9,14.6,2.34E+11,6.44E+10,0.89
6.31E-06,125.3,0.3,120,40.8,3.37E+11,1.27E+11,0.9,126.7,1.4,118.7,22.9,3.00E+11,8.54E+10,0.89
7.94E-06,124.7,0.3,118.2,41.5,4.27E+11,1.64E+11,0.9,126.1,1.8,116.6,35.2,3.83E+11,1.10E+11,0.9
1.00E-05,124.1,0.3,116.8,46.5,5.36E+11,2.07E+11,0.91,125.6,1.7,115.7,25.8,4.84E+11,1.40E+11,0.9
1.26E-05,123.5,0.3,116,48.6,6.72E+11,2.51E+11,0.91,125.1,1.7,115.5,23.4,6.09E+11,1.71E+11,0.9
1.58E-05,122.9,0.3,115.5,48.1,8.44E+11,3.04E+11,0.91,124.5,1.8,116,25.5,7.62E+11,2.23E+11,0.91
2.00E-05,122.2,0.3,114.4,46.9,1.07E+12,3.76E+11,0.91,123.9,2.8,117.1,75.6,9.70E+11,3.30E+11,0.91
2.51E-05,121.6,0.3,113.3,46.1,1.36E+12,4.58E+11,0.91,123.1,2.3,118.4,45.2,1.23E+12,4.31E+11,0.91
3.16E-05,120.9,0.3,112.4,48.1,1.73E+12,5.96E+11,0.92,122.3,1.8,120.1,20.9,1.56E+12,5.63E+11,0.91
3.98E-05,120.3,0.3,111.7,53.6,2.21E+12,8.16E+11,0.92,121.5,1.7,122.2,18.9,1.98E+12,7.16E+11,0.91
5.01E-05,119.7,0.3,111.7,48.2,2.81E+12,9.77E+11,0.92,120.8,1.2,125.7,13.9,2.45E+12,8.83E+11,0.92
6.31E-05,119.1,0.3,112.1,51.5,3.58E+12,1.24E+12,0.92,120.2,1.2,129.7,15.2,3.04E+12,1.06E+12,0.92
7.94E-05,118.5,0.3,113.5,52.1,4.52E+12,1.49E+12,0.92,119.5,1.5,134.1,22.6,3.75E+12,1.22E+12,0.92
1.00E-04,118,0.4,115.8,52.8,5.65E+12,1.81E+12,0.93,118.8,2.2,138.9,46.7,4.61E+12,1.40E+12,0.92
1.26E-04,117.4,0.5,119.9,48.7,6.97E+12,2.09E+12,0.93,118,2.2,143.8,43.3,5.67E+12,1.59E+12,0.93
1.58E-04,116.8,0.5,125.3,43.1,8.48E+12,2.26E+12,0.93,117.3,2.2,148.6,36.8,6.99E+12,1.77E+12,0.93
2.00E-04,116.2,0.5,131.8,38.2,1.03E+13,2.39E+12,0.93,116.5,2.2,153.1,30.3,8.62E+12,1.98E+12,0.93
2.51E-04,115.5,0.5,138.9,33.3,1.23E+13,2.42E+12,0.93,115.8,2.1,157.2,24.8,1.07E+13,2.24E+12,0.93
3.16E-04,114.9,0.6,146.4,32.6,1.47E+13,2.70E+12,0.94,115,2.1,161.6,22.2,1.31E+13,2.61E+12,0.94
3.98E-04,114.2,0.7,155,35,1.76E+13,3.48E+12,0.94,114.2,2,165.1,23.1,1.62E+13,3.16E+12,0.94
5.01E-04,113.4,0.7,163.4,36.5,2.10E+13,4.43E+12,0.94,113.3,2,168.5,23,2.00E+13,3.84E+12,0.94
6.31E-04,112.6,0.7,171.8,38.3,2.51E+13,5.60E+12,0.94,112.5,2,171.5,26.4,2.47E+13,4.72E+12,0.94
7.94E-04,111.8,0.7,180,41.3,3.02E+13,7.05E+12,0.94,111.6,2,174.1,30.1,3.06E+13,5.86E+12,0.94
1.00E-03,110.9,0.7,188.1,47,3.62E+13,9.32E+12,0.95,110.7,2,176.6,33.4,3.80E+13,7.41E+12,0.95
1.26E-03,110,0.7,195.5,53.3,4.38E+13,1.23E+13,0.95,109.8,2,178.6,36,4.73E+13,9.57E+12,0.95
1.58E-03,109,0.7,202,53.8,5.32E+13,1.53E+13,0.95,108.8,2.1,180.1,38.6,5.91E+13,1.27E+13,0.95
2.00E-03,108,0.7,207.5,51.6,6.51E+13,1.85E+13,0.95,107.9,2.1,181.3,39.7,7.40E+13,1.68E+13,0.95
2.51E-03,107,0.6,211.6,48.4,8.04E+13,2.18E+13,0.95,107,2.1,182.3,41.5,9.29E+13,2.30E+13,0.95
3.16E-03,105.9,0.6,214,45,1.00E+14,2.55E+13,0.95,106,2.2,183,39.6,1.17E+14,3.00E+13,0.95
3.98E-03,104.8,0.6,214.8,42.1,1.26E+14,2.97E+13,0.96,105.1,2.2,183.5,37.2,1.47E+14,3.72E+13,0.96
5.01E-03,103.7,0.5,214.4,38.7,1.59E+14,3.36E+13,0.96,104.1,2.2,183.8,34,1.85E+14,4.21E+13,0.96
6.31E-03,102.7,0.5,212.9,35.7,2.01E+14,3.71E+13,0.96,103.2,2.3,183.9,31.2,2.34E+14,4.73E+13,0.96
7.94E-03,101.7,0.5,209.9,33.7,2.57E+14,4.29E+13,0.96,102.3,2.4,183.9,27.2,2.95E+14,5.09E+13,0.96
1.00E-02,100.7,0.4,206.4,34.2,3.28E+14,5.22E+13,0.96,101.4,2.4,183.6,23.4,3.73E+14,5.36E+13,0.96
1.26E-02,99.7,0.4,202.4,35.5,4.21E+14,6.84E+13,0.96,100.5,2.4,183.3,19.7,4.70E+14,5.73E+13,0.96
1.58E-02,98.8,0.4,198.2,38.7,5.42E+14,9.36E+13,0.96,99.6,2.3,182.8,19.2,5.94E+14,7.45E+13,0.96
2.00E-02,97.9,0.3,194,30.2,6.96E+14,1.06E+14,0.96,98.7,2.3,182.3,23.3,7.49E+14,1.11E+14,0.96
2.51E-02,97,0.3,190,28.8,8.94E+14,1.36E+14,0.96,97.8,2.2,181.7,29.8,9.45E+14,1.67E+14,0.96
3.16E-02,96.1,0.3,186.3,28.4,1.15E+15,1.80E+14,0.96,97,2.1,181,34.8,1.19E+15,2.41E+14,0.96
3.98E-02,95.3,0.3,182.5,29,1.48E+15,2.47E+14,0.96,96.1,2.1,180.4,37.8,1.51E+15,3.42E+14,0.96
5.01E-02,94.4,0.3,178.9,29.7,1.90E+15,3.33E+14,0.96,95.2,2,179.2,39.7,1.91E+15,4.84E+14,0.96
6.31E-02,93.6,0.2,175.8,27.5,2.44E+15,4.07E+14,0.96,94.4,2,178.2,41.3,2.42E+15,6.81E+14,0.96
7.94E-02,92.7,0.2,172.7,25.2,3.14E+15,5.08E+14,0.96,93.5,1.9,177.4,51.6,3.07E+15,9.46E+14,0.96
1.00E-01,91.8,0.2,169.9,22.2,4.02E+15,6.05E+14,0.96,92.6,1.5,176.7,53.2,3.89E+15,1.29E+15,0.96
1.26E-01,90.9,0.3,167.2,21.3,5.16E+15,7.79E+14,0.96,91.7,1.7,176,41.8,4.92E+15,1.64E+15,0.96
1.58E-01,90.1,0.3,165.2,21.4,6.58E+15,1.01E+15,0.96,90.8,1.9,175.5,42.4,6.23E+15,2.19E+15,0.96
2.00E-01,89.2,0.3,162.9,22.8,8.40E+15,1.35E+15,0.96,90,2.1,174.9,44.6,7.89E+15,2.96E+15,0.96
2.51E-01,88.4,0.3,161.3,25.3,1.07E+16,1.83E+15,0.96,89.1,2.3,174.3,37.6,9.99E+15,2.95E+15,0.96
3.16E-01,87.5,0.3,162.4,24.6,1.34E+16,2.10E+15,0.97,88.2,2.4,173.6,30.7,1.26E+16,2.66E+15,0.96
3.98E-01,86.6,0.3,164.1,24.4,1.66E+16,2.56E+15,0.97,87.3,2.4,174.6,25.6,1.58E+16,2.42E+15,0.97
5.01E-01,85.8,0.3,166.2,27.9,2.07E+16,3.67E+15,0.97,86.3,2.6,177.1,24.6,1.96E+16,2.51E+15,0.97
6.31E-01,85,0.3,169.7,32.5,2.55E+16,5.12E+15,0.97,85.3,2.9,183.3,30.4,2.39E+16,3.56E+15,0.97
7.94E-01,84.1,0.2,173.3,29.9,3.14E+16,5.90E+15,0.97,84.2,3.1,191.2,42.8,2.88E+16,5.71E+15,0.97
1.00E+00,83.3,0.2,176.9,31.1,3.87E+16,7.45E+15,0.97,83.1,3.3,200.2,35.6,3.47E+16,6.53E+15,0.97